Category,Listed brand,Listed sub-product / offering,Impact on source page,Country shown,Alternative 1 company,Alternative 1 product/service,Alternative 1 source,Alternative 2 company,Alternative 2 product/service,Alternative 2 source,Alternative 3 company,Alternative 3 product/service,Alternative 3 source,Notes
Technology and Computers,Apple,"Core computers, smartphones and tablets",Low,United States,Lenovo,ThinkPad / IdeaPad PCs,https://www.lenovo.com/,ASUS,ExpertBook / Zenbook PCs,https://www.asus.com/,Acer,Aspire / Swift PCs,https://www.acer.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Cisco,"Networking, security and collaboration platforms",High,United States,Juniper Networks,Enterprise networking,https://www.juniper.net/,Fortinet,Network security,https://www.fortinet.com/,Palo Alto Networks,Network and cloud security,https://www.paloaltonetworks.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Dell,Personal computers and servers,High,United States,Lenovo,ThinkPad / ThinkSystem,https://www.lenovo.com/,ASUS,ExpertBook / Pro WS,https://www.asus.com/,Acer,TravelMate / servers,https://www.acer.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,General Electric,Wind turbines and maintenance,Medium,United States,Vestas,Wind turbines,https://www.vestas.com/,Siemens Gamesa,Wind turbines and services,https://www.siemensgamesa.com/,Nordex,Wind turbines and services,https://www.nordex-online.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Google (Alphabet),Android,Medium,United States,Murena /e/OS,/e/OS mobile OS,https://e.foundation/e-os/,Purism PureOS,PureOS ecosystem,https://pureos.net/,Jolla Sailfish OS,Sailfish OS,https://sailfishos.org/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Google (Alphabet),Chrome,Medium,United States,Mozilla Firefox,Firefox browser,https://www.mozilla.org/firefox/,Brave,Brave browser,https://brave.com/,Vivaldi,Vivaldi browser,https://vivaldi.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Google (Alphabet),DeepMind,Medium,United States,Anthropic Claude,Claude AI,https://www.anthropic.com/claude,OpenAI ChatGPT,ChatGPT,https://chatgpt.com/,Cohere Command,Command AI,https://cohere.com/command,Comparable product/service; verify local availability and ownership.
Technology and Computers,Google (Alphabet),YouTube,Medium,United States,Vimeo,Video hosting,https://vimeo.com/,Dailymotion,Video hosting,https://www.dailymotion.com/,PeerTube,Federated video platform,https://joinpeertube.org/,Comparable product/service; verify local availability and ownership.
Technology and Computers,Google (Alphabet),Waymo,Medium,United States,Mobileye,Driver-assistance and autonomy,https://www.mobileye.com/,Aurora Innovation,Autonomous trucking and mobility,https://aurora.tech/,Motional,Autonomous vehicles,https://motional.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,HP,Fitstation,High,United States,Volumental,3D foot scanning,https://volumental.com/,Aetrex,Footwear/orthotics technology,https://www.aetrex.com/,Superfeet,Custom insoles,https://www.superfeet.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,HP,HP Wolf Security,High,United States,CrowdStrike,Endpoint security,https://www.crowdstrike.com/,SentinelOne,Endpoint security,https://www.sentinelone.com/,Sophos,Endpoint security,https://www.sophos.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,HP,HyperX,High,United States,Logitech G,Gaming peripherals,https://www.logitechg.com/,Razer,Gaming peripherals,https://www.razer.com/,SteelSeries,Gaming peripherals,https://steelseries.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,HP,OMEN,High,United States,Lenovo Legion,Gaming PCs,https://www.lenovo.com/us/en/legion/,ASUS ROG,Gaming PCs,https://rog.asus.com/,Acer Predator,Gaming PCs,https://www.acer.com/us-en/predator,Comparable product/service; verify local availability and ownership.
Technology and Computers,HP,Z workstations,High,United States,Lenovo ThinkStation,Workstations,https://www.lenovo.com/us/en/c/workstations/thinkstation/,ASUS ProArt,Creator workstations,https://www.asus.com/proart/,BOXX Technologies,Professional workstations,https://boxx.com/,Comparable product/service; verify local availability and ownership.
Technology and Computers,IBM,"Cloud, AI and cybersecurity services",Medium,United States,Salesforce,Cloud CRM and platform,https://www.salesforce.com/,SAP,Cloud ERP and platform,https://www.sap.com/,ServiceNow,Cloud workflow platform,https://www.servicenow.com/,Comparable product/service; verify local availability and ownership.
