Field,Value
Source page,https://boycott-israel.org/boycott.html
Scope,"Every listed parent company and every explicitly listed child/sub-product was included; where the source page has no child product, a comparable core offering row was created."
Important limitation,"This workbook operationalizes the supplied page. It does not independently verify the page's political, legal, or corporate-complicity claims."
Alternative rule,"Each row contains three alternatives from three distinct companies. Alternatives are intended as comparable products/services, not declarations that a company has no links to Israel or any particular political position."
Health warning,"For pharmaceuticals, alternatives are manufacturer-level options only. Never stop or change prescribed medication for boycott reasons; consult a pharmacist or clinician about active ingredient, dose, formulation, and local availability."
Workbook row count,228
Supplemental Nivea article,https://brusselsmorning.com/does-nivea-support-israel-brand-stance-explained/76051/
Official NIVEA parent verification,https://www.beiersdorf.com/brands/nivea
Distinct alternative companies,Official source URL
3M,https://www.3m.com/
Aarke,https://aarke.com/
Abbott Ensure,https://www.ensure.com/
Acer,https://www.acer.com/
Acer Predator,https://www.acer.com/us-en/predator
adidas,https://www.adidas.com/
Aesop,https://www.aesop.com/
Aetrex,https://www.aetrex.com/
Agoda,https://www.agoda.com/
Akamai,https://www.akamai.com/
Al Wadi Al Akhdar,https://www.alwadi.com/
Aldi,https://www.aldi.com/
Alibaba Cloud,https://www.alibabacloud.com/
Alibaba Cloud Services,https://www.alibabacloud.com/
Allianz,https://www.allianz.com/
Allied Universal,https://www.aus.com/
Alstom,https://www.alstom.com/
AMD,https://www.amd.com/
Amy's Kitchen,https://www.amys.com/
Anthropic Claude,https://www.anthropic.com/claude
Aquaphor,https://www.aquaphorus.com/
Arbejdernes Landsbank,https://www.al-bank.dk/
Ariel,https://www.ariel.co.uk/
Arizona Beverages,https://drinkarizona.com/
Arla,https://www.arla.com/
Arm,https://www.arm.com/
Asana,https://asana.com/
ASICS,https://www.asics.com/
Aston Martin,https://www.astonmartin.com/
ASUS,https://www.asus.com/
ASUS ProArt,https://www.asus.com/proart/
ASUS ROG,https://rog.asus.com/
Aurora Innovation,https://aurora.tech/
Aveeno,https://www.aveeno.com/
Avery Dennison,https://www.averydennison.com/
Aviva,https://www.aviva.com/
Avène,https://www.eau-thermale-avene.com/
Babyganics,https://www.babyganics.com/
Banana Boat,https://www.bananaboat.com/
Band-Aid,https://www.band-aid.com/
Bank of America,https://www.bankofamerica.com/
Barclays,https://home.barclays/
Barilla,https://www.barilla.com/
BeyondTrust,https://www.beyondtrust.com/
Bioderma,https://www.bioderma.us/
Birds Eye,https://www.birdseye.com/
Bitdefender,https://www.bitdefender.com/
Blue Bell,https://www.bluebell.com/
Blue Buffalo,https://bluebuffalo.com/
BMW,https://www.bmw.com/
BMW M,https://www.bmw-m.com/
Bonduelle,https://www.bonduelle.com/
Bournvita,https://www.bournvita.co.in/
BOXX Technologies,https://boxx.com/
Brave,https://brave.com/
Broadcom,https://www.broadcom.com/
Bulldog Skincare,https://www.bulldogskincare.com/
Burger King,https://www.bk.com/
Burt's Bees,https://www.burtsbees.com/
Caffè Nero,https://www.caffenero.com/
Capital One,https://www.capitalone.com/
Carlsberg,https://www.carlsberg.com/
Carmex,https://www.mycarmex.com/
Casper,https://casper.com/
Cawston Press,https://cawstonpress.com/
Cedar's,https://www.cedarsfoods.com/
Celsius,https://www.celsius.com/
Cerebras Systems,https://www.cerebras.ai/
Ceres Juice,https://www.ceres.co.za/
Cetaphil,https://www.cetaphil.com/
Chanel Beauty,https://www.chanel.com/
ChapStick,https://www.chapstick.com/
Chosen Foods,https://chosenfoods.com/
Cipla,https://www.cipla.com/
Clarins,https://www.clarins.com/
ClickUp,https://clickup.com/
Clif Bar,https://www.clifbar.com/
Clinique,https://www.clinique.com/
Cloudflare,https://www.cloudflare.com/
Codeium,https://codeium.com/
Cohere Command,https://cohere.com/command
Cohesity,https://www.cohesity.com/
ColourPop,https://colourpop.com/
Corvette,https://www.chevrolet.com/performance/corvette
Costa Coffee,https://www.costa.co.uk/
CrowdStrike,https://www.crowdstrike.com/
Crédit Agricole,https://www.credit-agricole.com/
Culture Trip,https://theculturetrip.com/
CURAD,https://www.curad.com/
Curel,https://www.curel.com/
Cursor,https://cursor.com/
Dailymotion,https://www.dailymotion.com/
Daimler Truck,https://www.daimlertruck.com/
Danone,https://www.danone.com/
Davines,https://world.davines.com/
Debian,https://www.debian.org/
Delinea,https://delinea.com/
DigitalOcean,https://www.digitalocean.com/
DigitalOcean Cloud,https://www.digitalocean.com/
Dior Beauty,https://www.dior.com/
Downy,https://downy.com/
Dr Pepper,https://www.drpepper.com/
Dr. Barbara Sturm,https://www.drsturm.com/
Dr. Bronner's,https://www.drbronner.com/
Dr. Hauschka,https://www.drhauschka.com/
Drinkmate,https://idrinkproducts.com/
e.l.f. Cosmetics,https://www.elfcosmetics.com/
E.Leclerc,https://www.e.leclerc/
Earth's Best,https://www.earthsbest.com/
Ecover,https://uk.ecover.com/
Electrolit,https://electrolit.com/
Electronic Arts,https://www.ea.com/
Ella's Kitchen,https://www.ellaskitchen.co.uk/
Emma Sleep,https://www.emma-sleep.com/
ESET,https://www.eset.com/
Estée Lauder,https://www.esteelauder.com/
Estée Lauder Companies,https://www.elcompanies.com/
Etsy,https://www.etsy.com/
Eucerin,https://www.eucerinus.com/
Every Man Jack,https://www.everymanjack.com/
Evian,https://www.evian.com/
F5,https://www.f5.com/
Faith in Nature,https://www.faithinnature.co.uk/
Fastly,https://www.fastly.com/
Fedora,https://fedoraproject.org/
Ferrari,https://www.ferrari.com/
Ferrero,https://www.ferrero.com/
Fever-Tree,https://fever-tree.com/
Fiji Water,https://www.fijiwater.com/
